POWELL (1981-2010),,,
Uregulated Inflow Volume ( 1000-af),,,
Month,Min25,Med,Max75
Jan,329,361,409
Feb,372,393,446
Mar,585,665,775
Apr,747,1056,1306
May,1625,2343,3063
Jun,1654,2666,3564
Jul,404,1091,1568
Aug,256,500,694
Sep,287,408,493
Oct,349,512,634
Nov,419,473,537
Dec,330,363,409
TOTAL,7357,10831,13898
