POWELL (1991-2020),,,
Uregulated Inflow Volume ( 1000-af),,,
Month,Min25,Med,Max75
Jan,333,350,364
Feb,378,397,398
Mar,564,614,660
Apr,716,920,1106
May,1552,2060,2555
Jun,1570,2423,3265
Jul,298,711,1366
Aug,211,371,520
Sep,226,316,427
Oct,350,417,516
Nov,429,450,456
Dec,347,361,354
TOTAL,6974,9390,11987
